""	"Raw"	"Qual_filter"	"Derep"	"ASVs R1"	"ASVs R2"	"Merged"	"nonchim"
"S1A015"	342327	306289	304350	295481	294899	267117	243062
"S1A1530"	353082	319333	317482	309764	309229	283071	259650
"S1A3050"	253549	226138	224633	217168	216792	195281	180047
"S1A5075"	258518	234172	232697	226403	224909	204850	186680
"S1B07"	320547	288455	286743	277418	276736	250473	207987
"S1B2230"	381400	345852	343553	332779	332554	295973	269959
"S1B3040"	286283	255616	253735	246596	246723	220552	195671
"S1B6575"	352640	322118	320005	308679	309649	269416	248502
"S2A1727"	330795	301132	299212	281609	287546	242310	222708
"S2A3545"	328144	296173	294199	281934	281208	249625	221366
"S2A5060"	395326	358239	355911	343497	343191	304848	272197
"S2A515"	261496	238172	236649	227272	228008	200344	185043
"S2B07"	286496	259654	257889	244204	246826	214550	194617
"S2B1522"	309385	281402	279690	270216	269935	241278	222282
"S2B3040"	340093	307567	305751	297615	297587	271641	245981
"S2B5565"	220967	199442	198285	193238	192068	173390	153758
"S3A07"	233674	208416	207147	198917	198499	176679	148331
"S3A1522"	259804	234111	232620	227201	226612	206811	181997
"S3A3040"	229482	204459	203028	195900	195309	172833	157199
"S3A6070"	177807	161347	160260	157172	156945	144736	129138
"S3B2030"	357597	324135	322096	312282	312748	279200	250228
"S3B3545"	321667	289882	287923	277321	278626	246657	214788
"S3B6070"	1074036	977072	971009	954898	954560	883181	783877
"S4B07"	381507	347244	345187	331879	332448	297013	271702
"S4B1522"	219117	199795	198625	191115	191016	170604	155688
"S4B3040"	326041	295359	293421	284236	284083	256056	232037
"S4B5565"	331626	302547	300810	291694	290233	259291	237760
"S5A07"	337694	302784	300905	291805	291672	265139	219758
"S5A1522"	253669	228588	227163	220466	220380	201820	170908
"S5A3040"	347506	309813	307848	299639	299610	274319	236181
"S5A5565"	160683	145871	144886	140663	140087	127208	113797
"S5B07"	304182	276676	275145	265545	265471	239914	208637
"S5B1522"	318445	292911	291202	269629	277106	220399	187610
"S5B3040"	519530	472949	470139	452756	454021	402659	371915
"S5B5060"	407409	371378	368802	354410	358651	314773	285542
"S6A07"	339106	305619	303854	295417	294178	268106	242601
"S6A1522"	304546	276409	274684	266969	265813	243082	223506
"S6A3040"	281949	253708	252152	246311	244388	225137	196177
"S6B07"	437642	396473	394003	380487	380688	341555	297743
"S6B1522"	304421	276841	274893	265920	266348	243092	215379
"S6B3040"	288026	258197	256281	246615	246863	222764	199296
"S7A07"	382789	342787	340610	327338	327290	290779	265876
"S7A1522"	292933	263517	261810	254373	253424	231743	215292
"S7A3040"	395227	352708	350223	339867	339287	306753	281383
"S7A5060"	141888	129337	128459	118918	121533	97953	88777
"S7B07"	268133	236232	234484	223267	221707	193171	173185
"S7B1522"	340074	309965	308083	295719	295056	263020	240719
"S7B5060"	264737	240488	238942	232748	231321	209989	181805
